dataset_name,data_update_frequency,dataset_date
sudan-2021-multisector-needs-analysis-msna,365,[2021-08-31T00:00:00 TO 2021-08-31T23:59:59]
malawi-displacement-data-site-assessment-idai-iom-dtm,-2,[2019-04-07T00:00:00 TO 2019-04-07T23:59:59]
kenya-displacement-idps-site-assessment-iom-dtm,-1,[2015-04-01T00:00:00 TO 2021-04-15T23:59:59]
dtm-dominica-round-1,14,[2017-10-19T00:00:00 TO 2017-10-19T23:59:59]
mali-baseline-assessment-data-iom-dtm,180,[2017-12-31T00:00:00 TO 2023-09-30T23:59:59]
yemen-displacement-data-task-force-on-population-movement-iom-dtm,-1,[2018-08-31T00:00:00 TO 2018-08-31T23:59:59]
libya-baseline-assessment-data-iom-dtm,365,[2015-12-01T00:00:00 TO 2022-12-31T23:59:59]
sudan-2022-multisector-needs-assessment-msna,365,[2022-06-01T00:00:00 TO 2022-07-31T23:59:59]
nigeria-site-assessment-data,180,[2015-01-01T00:00:00 TO 2022-11-19T23:59:59]
ukraine-displacement-data-returnees-iom-dtm,90,[2022-04-11T00:00:00 TO 2023-09-25T23:59:59]
ethiopia-displacement-northern-region-tigray-idps-site-assessment-iom-dtm,180,[2020-12-22T00:00:00 TO 2023-06-28T23:59:59]
dtm-lebanon-migrant-presence-monitoring-mpm,180,[2023-04-01T00:00:00 TO 2023-06-30T23:59:59]
sudan-displacement-situation-idps-iom-dtm,30,[2023-04-15T00:00:00 TO 2024-01-21T23:59:59]
ethiopia-baseline-assessment-data-iom-dtm,180,[2017-05-09T00:00:00 TO 2023-09-02T23:59:59]
mozambique-displacement-data-baseline-assessment-northern-mozambique-crisis-iom-dtm,180,[2022-02-01T00:00:00 TO 2023-08-31T23:59:59]
philippines-displacement-data-mindanao-earthquake-site-assessment-iom-dtm,-2,[2019-12-21T00:00:00 TO 2019-12-21T23:59:59]
car-displacement-data-site-assessment-iom-dtm,-1,[2019-05-05T00:00:00 TO 2021-06-30T23:59:59]
honduras-displacement-idps-hurricane-eta-and-iota-response-site-assessment-iom-dtm,-1,[2020-11-16T00:00:00 TO 2020-11-22T23:59:59]
sudan-displacement-data-idps-iom-dtm,365,[2020-01-20T00:00:00 TO 2023-03-31T23:59:59]
sudan-returnee-data-iom-dtm,365,[2020-01-20T00:00:00 TO 2023-03-31T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-teknaf-para-mapping,90,[2018-05-01T00:00:00 TO 2018-12-19T23:59:59]
iom-dtm-iraq-dataset-round-23,-1,
burundi-displacement-data-emergency-event-tracking-iom-dtm,30,[2020-03-02T00:00:00 TO 2024-01-07T23:59:59]
cameroon-displacement-idps-msna-iom-dtm,180,[2021-07-07T00:00:00 TO 2022-08-24T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-round-16-site-assessment,90,[2019-08-21T00:00:00 TO 2019-10-10T23:59:59]
mozambique-settlement-shapefiles,-1,[2015-02-01T00:00:00 TO 2015-02-01T23:59:59]
ukraine-idp-estimates,90,[2022-03-09T00:00:00 TO 2023-09-25T23:59:59]
lebanon-displacement-data-idp-tracking-iom-dtm,7,[2023-10-10T00:00:00 TO 2024-01-16T23:59:59]
south-sudan-displacement-data-idps-returnees-baseline-assessment-iom-dtm,180,[2018-04-30T00:00:00 TO 2023-10-10T23:59:59]
nigeria-location-assessment-data,180,[2016-11-01T00:00:00 TO 2022-03-28T23:59:59]
yemen-displacement-daily-tracking-idps-returnees-iom-dtm,30,[2019-01-01T00:00:00 TO 2024-01-20T23:59:59]
libya-migration-data-migrants-baseline-assessment-iom-dtm,180,[2023-03-31T00:00:00 TO 2023-06-30T23:59:59]
